hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoU,CoA,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
2893,"Selworthy Beacon","41",,"Ma,3","308","1010","SS918479","SS 91888 47994","SS935459","115","193","ground 2m NNE of trig point","large cairn 5m W of trig point may hide higher ground; ground 50m E is 1m lower","obvious summit","2001-10-28","","181","OL9E","291885","147989","51.22082","-3.549512","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2894,"Periton Hill","41",,"Ma,2","297","974","SS946441","SS 94656 44164","SS933434","115","182","no feature: ground 15m from forest road","summit is 2m higher than base of trig point 180m ENE at SS 94827 44232; trees affect GPS measurement","Abney level","2001-10-28","","181","OL9E","294654","144158","51.18691","-3.508765","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2895,"Long Knoll","41",,"Ma,2","288","945","ST786376","ST 78609 37660","ST725387","117","171","no feature 10m NE of trig point","summit is 50cm higher than base of trig point","Abney level","2001-10-28","","183","142","378607","137654","51.13775","-2.307149","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2896,"Lewesdon Hill","41",,"Ma,2,CoH,CoU, CoA","278.6","914","ST437011","ST 43776 01174","ST 3279 0880","91.4","187.2","grassy mound at east end of ridge","mound under tree 60m NNW at ST 43758 01234 is as high","Abney level/Leica RX1250","2021-03-21","Replaces hill 2898 Pilsdon Pen as Dorset County top","193","116","343773","101168","50.807316","-2.799345","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2897,"Win Green","41",,"Ma,2","277","909","ST925206","ST 92517 20699","ST 8755 2850","120.3","157","centre of summit copse","summit is 1m higher than base of trig point 50m S at ST 92509 20652; trees obstruct GPS measurement","Abney level","2021-03-21","","184","118N","392515","120693","50.985584","-2.108001","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2898,"Pilsdon Pen","41",2896,"2","276.7","908","ST413011","ST 41364 01144","ST420016","194","83","no feature 8m SE of trig point","base of trig point at ST 41358 01149 is 40cm lower; earthwork 390m NW of trig point at ST 41358 01149 is slightly lower","Abney level/Leica RX1250","2023-02-05","Marilyn and Dorset County Top replaced by 2896 Lewesdon Hill in 1995","193","116","341361","101138","50.806806","-2.833568","E","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2899,"Bulbarrow Hill","41",2896,"Hu,2,sMa","274","899","ST778055","ST 77850 05582","ST757042","133","141","no feature: ground on E perimeter of copse by smaller mast","ground is just higher than base of (man made) earthen mound in copse 30m WSW at ST 77822 05567","Abney level","2012-09-02","","194","117E","377848","105576","50.849266","-2.316032","E","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2900,"Dundry Down","41",,"Ma,2","233","764","ST553667","ST 55340 66725","ST541586","63","170","trig point","mound 50m N is about 1m lower","Abney level","2012-07-29","","172 182","154 155","355338","166720","51.39774","-2.643365","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2901,"Swyre Head","41",2896,"Hu,2,sMa","206.6","678","SY934784","SY 93417 78467","SY 8568 8182","58.3","148.3","top of tumulus","ground by trig point 100m NNW at SY 93376 78556 is 40cm lower than base of tumulus; ground just S of tumulus is engineered","Leica NA730/Leica GS15","2015-06-09","Deleted from Marilyns June 2015","195","OL15E","393415","78461","50.605815","-2.094411","E","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2902,"Hardown Hill","41",,"Ma,2","207","679","SY405942","SY 40531 94276","SY 4331 9717","53.6","153.4","no feature 30m N of copse","ground 15m NE at SY 40541 94286 and 15m S at SY 40530 94261 are both of similar height. Ground on earthen bank at SY 40554 94261 is 0.6m higher but unnatural","Abney level","2023-02-05","","193","116","340528","94270","50.744966","-2.844276","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2903,"Nine Barrow Down","41",,"Ma,1","199.8","656","SZ008812","SZ 00850 81206","SY 9821 8001","48","151.8","ground by fence","ground 10m W and 35m W, both on fence line at SZ 00842 81206 and SZ 00816 81211 are both of similar height. Natural summit might be S of fence line at SZ 00821 81204","Abney level/Leica RX1250","2023-02-05","","195","OL15E","400848","81200","50.630484","-1.989365","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2904,"Bleadon Hill [Loxton Hill]","41",2891,"Hu,1,sMa","175.5","576","ST365570","ST 36588 57087","ST 4154 5879","34.5","140.9","no feature: ground 40m NE of trig point","ground 2m from trig point (ST 36562 57059) is as high but is part of a collapsed wall","Abney level","2021-03-28","","182","153","336586","157082","51.309298","-2.911162","E","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2905,"Glastonbury Tor","41",2891,"Hu,1,sMa","158","518","ST512386","ST 51230 38631","ST522377","13","145","no feature: ground 8m E from N corner of tower","","Abney level","2001-10-28","","182 183","141","351228","138626","51.144798","-2.698599","E","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2906,"Walbury Hill","42",,"Ma,2,CoH,CoU, CoA","297","974","SU373616","SU 37348 61632","SU042590","109","188","ground 2m NE of trig point","","Abney level","2001-10-28","","174","158","437346","161626","51.352489","-1.465080","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2907,"Leith Hill","42",,"Ma,2,CoH,CoU, CoA","295","968","TQ139431","TQ 13936 43185","TQ038365","49","246","grassy knoll with seat","0.6m higher than base of tower 20m SE at TQ 13950 43175","Abney level","2001-10-28","","187","146","513935","143179","51.176499","-0.371452","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2908,"Black Down","42",,"Ma,2,CoH,CoU, CoA","280","919","SU919296","SU 91946 29635","SU782315","89","191","knoll","knoll is in trees and is 30m NNE of trig point (SU 91935 29610) and about 0.75m higher","Abney level","2001-10-28","","186 197","OL33 133","491945","129629","51.058642","-0.689389","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2909,"Butser Hill","42",,"Ma,2","270","886","SU716203","SU 71685 20328","SU583509","112","158","ground by trig point","summit area very flat; ground by sunken tank near trig point is higher but man-made","Abney level","2001-10-28","","197","OL8 OL33 120 133","471684","120322","50.977847","-0.980281","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2910,"Botley Hill (old GR)","42",3686,"Un","267","876","TQ396553","TQ 39619 55396","TQ394550","262","5","no feature: ground 50m NNE of trig point","trig point is at TQ 39607 55352; new summit is 950m WSW of trig point","obvious summit","2009-11-20","Marilyn replaced by hill 3686. See Database Notes","187","146","539619","155390","51.280545","0.000501","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2911,"Littleton Down","42",2909,"Hu,2,sMa","254.9","836","SU941149","SU 94124 14944","SU 8741 1667","105.7","149.2","small ridge of earth","summit in trees","Leica NA730/Leica GS15","2015-06-21","","197","OL10 121","494123","114938","50.926218","-0.662123","E","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2912,"Ditchling Beacon","42",,"Ma,2,CoH,CoU, CoA","248","814","TQ331130","TQ 33161 13075","TQ338217","34","214","no feature: ground 4m N of trig point","ground is 0.3m higher than trig point; ground in field to S is 0.4m lower","Abney level","2012-07-29","","198","OL11 122","533160","113068","50.901738","-0.107632","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2913,"Crowborough","42",,"Ma,2","242","794","TQ510306","TQ 51049 30631","TQ219344","83","159","ground by entrance to Deep Dene","higher ground may exist on the opposite side of Warren Road","Abney level","2008-11-10","Replaces hill 2915 as Marilyn","188 199","135","551049","130624","51.055099","0.153873","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2914,"St Boniface Down","42",,"Ma,2,CoH,CoU, CoA,SIB","242","794","SZ568785","SZ 56881 78520","Sea","","242","no feature: natural ground inside outer security fence","ground near car park 550m ENE at SZ 57277 78653 is 0.34m lower in LIDAR; embankment within compound east of bend in road at SZ 56735 78548 is 0.5m higher in LIDAR but man-made.","Abney level","2017-03-07","","196","OL29E","456880","78513","50.603566","-1.197592","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2915,"Crowborough (old GR)","42",2913,"Un","240","787","TQ511307","TQ 51172 30770","TQ511307","240","0","trig point","","","2009-11-20","Marilyn relocated to hill 2913","188 199","135","551172","130763","51.056316","0.155685","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2916,"Chanctonbury Ring [Chanctonbury Hill]","42",,"Ma,2","240","787","TQ138120","TQ 13867 12042","TQ099248","23","217","no feature: Western edge of ring","1.5m higher than trig point at TQ 13430 12060; ground in centre of ring at TQ 13934 12067 may be as high","Leica Runner 20","2012-07-29","old GR was trig on Chanctonbury Hill","198","OL10 121","513866","112035","50.896576","-0.382218","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2917,"Firle Beacon","42",,"Ma,2","217","712","TQ485059","TQ 48548 05931","TQ525111","21","196","knoll 10m W of trig point","knoll is 90cm higher than flush bracket of trig point","Abney level","2020-12-06","","198","OL25 123","548548","105924","50.833787","0.108146","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2918,"Brighstone Down","42",,"Ma,2","213.7","701","SZ432847","SZ 43245 84732","SZ 4818 8172","63.1","150.6","trig point","ground 10m WSW at SZ 43235 84726 is of similar height","Abney level/Leica RX1250","2023-02-05","","196","OL29W","443244","84726","50.660595","-1.389547","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2919,"Wilmington Hill","42",,"Ma,2","214","702","TQ548034","TQ 54851 03448","TQ588114","20","194","no feature: ground 25m ENE of trig point","summit is 0.75m higher than trig point (TQ 54831 03437)","Abney level","2020-12-06","","199","OL25 123","554851","103441","50.809824","0.196539","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2920,"Detling Hill [North Downs]","42",,"Ma,2","202.2","663","TQ803586","TQ 80347 58665","TQ 9021 3786","37.8","164.4","not recorded","","","2021-01-16","","178 188","148","580347","158658","51.298483","0.585557","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2921,"Cheriton Hill","42",2920,"Hu,1,sMa","187.7","616","TR197396","TR 19711 39687","TQ 9855 3962","38","149.7","no feature: arable","ground at field edge 75m E at TR 19787 39665 is as high","","2021-01-16","","179 189","138","619712","139679","51.11427","1.137766","E","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2922,"Cliffe Hill","42",,"Ma,1","164.3","539","TQ434107","TQ 43405 10719","TQ 4579 1292","14.5","149.8","grass bank by golf course green 10m SSE of trig point","trig point is at TQ 43404 10729","Abney level/Leica RX1250","2020-12-24","","198","OL11 OL25 122 123","543405","110712","50.878113","0.037035","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2923,"Tennyson Down","42",2918,"Hu,1,sMa","147","482","SZ325853","SZ 32511 85334","SZ344869","2","145","no feature: 20m ENE of monument","view indicator 5m N of monument at SZ 32591 85336 is 40cm lower; trig point 5m N of view indicator at SZ 32493 85341 has been destroyed","Abney level","2007-03-10","","196","OL29W","432509","85328","50.666705","-1.541355","E","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2926,"Pen Pumlumon Llygad-bychan [Plynlimon East Top] (B&L GR)","31A",2161,"O","724","2375","SN802874","SN 80250 87488","SN800872","719","5","cairn","this cairn is on the N top","","2012-12-10","B&L top: separate summit from Nuttall SN799871","135 136","213 214W","280247","287484","52.472123","-3.764444","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2927,"Wether Hill","34C",2528,"N,Sy","675.7","2217","NY454163","NY 45464 16307","NY 4530 1595","656.7","19","no feature","ground 15-20m N is of equal height; summit 400m N (hill 2557) is 3m lower","Abney level","2022-10-31","Replaced 2557 as the Nuttall top in March 2012","90","OL5S","345463","516308","54.539092","-2.844424","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2928,"Thornthwaite Crag North Top","34C",2528,"Sy","710.7","2332","NY429110","NY 42964 11007","NY 4301 1080","696.9","13.8","grassy mound","","","2022-02-06","","90","OL5S","342963","511008","54.49119","-2.882032","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2929,"Murton Fell (B&L GR)","35A",2711,"O","673.3","2209","NY758240","NY 75815 24069","NY 7549 2433","667.7","5.6","no feature: grass and heather","","Abney level","2021-12-11","B&L top: separate summit from Nuttall NY752246 which is 0.3m higher","91","OL19N","375815","524070","54.611212","-2.375976","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2930,"Tinside Rigg","35A",2711,"N","624","2047","NY775199","NY 77547 19904","NY 77914 20051","604.7","19.3","embedded rock 3m W of pile of stones","","Leica NA730/Leica GS15","2016-11-18","Promoted to Nuttall November 2016; summit measured as 624.0m","91","OL19N","377547","519905","54.573862","-2.34884","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,"Sails","35A",2716,"Sim,Hew,N","666.6","2187","SD808965","SD 80826 96571","SD 8093 9827","617.6","49","cairn by trig point","ground 20m NE at SD 80839 96585 is of similar height","Leica RX1250","2022-10-31","Replaced 2743 Little Fell in Oct 2022","98","OL19S","380826","496571","54.364304","-2.296597","E","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3320,"Honister Crag [Black Star]","34B",2367,"N,sSim,B,Sy","634","2080","NY212141","NY 21247 14152","NY 2109 1410","613.1","20.9","rock outcrop at cliff edge","","Abney level/Leica RX1250","2021-10-30","New Nuttall November 2004.","89 90","OL4S","321246","514153","54.516539","-3.218061","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3321,"Arnside Knott","34D",,"Ma,1","159.1","522","SD456774","SD 45612 77479","SD 47125 76436","8.3","150.8","yew tree 12m SE of trig point","trig point at SD 45602 77485 is 40cm lower; knoll 90m S is 75cm lower","Leica NA730/Leica 530","2011-03-29","New Marilyn May 2005. See Database Notes.","97","OL7S","345611","477479","54.190186","-2.835028","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3322,"Caermote Hill","34A",2351,"2,WO","289","948","NY195371","NY 19600 37156","NY201371","230","59","boulder with plaques","boulder 10m E at NY 19610 37153 is 15cm higher and is highest point","Abney level","2005-05-10","Not in Turner's list: north top NY196376 renamed St John's Hill","89 90","OL4N","319599","537157","54.722964","-3.249822","E","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3323,"Newton Fell South [Dixon Heights]","34D",2671,"1,WO","177","581","SD413815","SD 41350 81559","SD413818","140","37","slight rocky/grassy rise 4m from ruined tower","","","2014-02-14","Not in Turner's list","96 97","OL7S","341349","481559","54.226381","-2.901135","E","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3324,"nameless (Bannisdale Horseshoe - Ancrow Brow N)","34C",2559,"WO,Sy","541","1775","NY502059","NY 50297 05912","NY501057","525","16","cairn on remains of old wall","","Abney level","2011-10-17","","90","OL7N","350296","505912","54.446177","-2.767979","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3325,"Swinklebank Crag [Ancrow Brow] [nameless (Bannisdale Horseshoe)]","34C",2559,"5,Dew,WO,B, Sy","554","1818","NY500049","NY 50068 04907","NY503062","508","46","cairn by fence","","obvious summit","2011-06-16","","90","OL7N","350067","504908","54.437124","-2.771341","E","",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3326,"The Forest [Borrowdale Head] [nameless (Bannisdale Horseshoe)]","34C",2559,"5,Dew,WO,B, Sy","528","1732","NY527035","NY 52761 03567","NY526039","488","40","small cairn","","Abney level","2009-06-08","","90","OL7N","352760","503567","54.42534","-2.729611","E","",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3327,"nameless (Green Quarter) [Hollow Moor East Top]","34C",2528,"WO,Sy","413","1355","NY473042","NY 47352 04255","NY471042","403","10","no feature","","Abney level","2012-08-15","","90","OL7N","347351","504256","54.43099","-2.813094","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328,"Naddle High Forest [nameless (Naddle Horseshoe - 1)]","34C",2528,"WO,B,Sy","435","1427","NY492143","NY 49245 14308","NY491141","407","28","cairn","","Abney level","2011-10-17","","90","OL5S","349244","514309","54.521522","-2.785646","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3329,"Wallow Crag [nameless (Naddle Horseshoe - 2)]","34C",2528,"WO,B,Sy","433","1421","NY496149","NY 49647 14933","NY494147","406","27","cairn","","obvious summit","2012-08-15","Relocated. Error in Wainwright's sketch map, see Database Notes","90","OL5S","349646","514934","54.527178","-2.779542","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3330,"nameless (Naddle Horseshoe - 3)","34C",2528,"WO,Sy","395","1296","NY505152","NY 50529 15235","NY504151","388","7","cairn","","obvious summit","2005-05-10","","90","OL5S","350528","515236","54.529979","-2.765966","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3331,"nameless (Potter Fell - 1) [Brunt Knott South Top]","34C",2528,"3,WO,Sy","395","1296","SD489998","SD 48961 99818","NY487002","363","32","small cairn","ground to 5m NNE is as high","Abney level","2013-02-02","","97","OL7N","348960","499818","54.391282","-2.787529","E","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3332,"nameless (Potter Fell - 2) [Potter Fell]","34C",2528,"3,WO,Sy","390","1280","NY496003","NY 49665 00351","NY 49205 00337","345","45","stone on grassy knoll","","obvious summit","2010-08-23","","90","OL7N","349664","500351","54.396142","-2.776779","E","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3333,"nameless (School Knott)","34D",2528,"WO","247","810","SD428967","SD 42846 96723","SD428966","245","2","rock by north face of wall","cairn and nearby rock 25m to NE are slightly lower; outcrop 50m ESE of wall at SD 42882 96687 is 1m higher and is hill 19190 Cleabarrow Hill","Abney level","2016-04-11","Tump (Cleabarrow Hill) moved to hill 19190 April 2016","96 97","OL7N","342845","496723","54.362819","-2.881095","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
